id,sentence,label,sentence_length
1,he put an elephant into the fridge,0,7
1,he put a turkey into the fridge,1,7
2,my sister eats an apple after breakfast every day,1,9
2,my sister eats a stone after breakfast every day,0,9
5,a man can better see stars and the moon in daytime,0,11
5,a man can hardly see stars and the moon in daytime,1,11
6,he was sent to a restaurant for treatment after a car crash,0,12
6,he was sent to a hospital for treatment after a car crash,1,12
8,cans are usually made of gold,0,6
8,cans are usually made of aluminum,1,6
9,I put my desktop into my suitcase before departure,0,9
9,I put my laptop into my suitcase before departure,1,9
10,I walk to the Moon,0,5
10,I walk to the school,1,5
11,I work 25 hours a day,0,6
11,I work 8 hours a day,1,6
12,I'm hungry for water,0,4
12,I'm hungry for food,1,4
14,this man can jump across a mountain easily,0,8
14,this man can jump across a hurdle easily,1,8
15,I put the rubbish into a trash can,1,8
15,I put the rubbish into a mailbox,0,7
16,most children hate candies,0,4
16,most children love candies,1,4
18,a salad usually contains grass,0,5
18,a salad usually contains lettuce,1,5
19,computers are everywhere in a forest,0,6
19,trees are everywhere in a forest,1,6
20,my family used to watch TV together after dinner,1,9
20,my family used to watch radio together after dinner,0,9
21,I became hungry after a whole day starvation,1,8
21,I became sleepy after a whole day starvation,0,8
22,he died after taking poisons,1,5
22,he cured after taking poisons,0,5
23,I changed my direction when passing a crossroads,1,8
23,I changed my car when passing a crossroads,0,8
24,I had a sweet dream when I was asleep yesterday,1,10
24,I had a sweet dream when I was awake yesterday,0,10
25,my dad drinks a tin of cola everyday,1,8
25,my dad grows a tin of cola everyday,0,8
27,Bob played hard to prepare for the examination,0,8
27,Bob studied hard to prepare for the examination,1,8
28,I was humiliated by him so I broke up with him,1,11
28,I was humiliated by him so I had better friendship with him,0,12
29,I cooked my meal at the restaurant,0,7
29,I paid for my meal at the restaurant,1,8
30,Bob loves to play tennis at the indoor stadium,1,9
30,Bob loves to play tennis at the sports store,0,9
31,I love eating seafood and I love eating chicken,1,9
31,I love eating seafood so I love eating chicken,0,9
32,I am tall so I have an advantage in basketball,1,10
32,I am short so I have an advantage in basketball,0,10
33,mother sings a lullaby to send her baby asleep,1,9
33,mother sings a rock-and-roll to send her baby asleep,0,9
34,this apple is a beautiful golden green color,1,8
34,this apple is a beautiful light blue color,0,8
35,i call my mum with a phone,1,7
35,i call my mum with a drum,0,7
36,i like drinking mercury after dinner,0,6
36,i like drinking coffee after dinner,1,6
37,i put a bar of soap on a birthday cake,0,10
37,i put a candle on a birthday cake,1,8
39,he put some soy sauce to make the noodles taste better,1,11
39,he put some soy sauce to make the robot taste better,0,11
40,he is drunk soon after drinking some gin,1,8
40,he is drunk soon after drinking some water,0,8
42,managers greet with each other and begin to bark,0,9
42,managers greet with each other and begin to talk,1,9
43,teachers teach geography with a globe,1,6
43,teachers teach sports with a globe,0,6
44,a funeral is a place for mourning,1,7
44,a funeral is a place for laughter,0,7
46,Mary eats at a restaurant to do the dishes,0,9
46,Mary eats at a restaurant to avoid doing the dishes,1,10
47,wool is a form of clothing material,1,7
47,wool is a form of eating material,0,7
49,cars on the freeway multiply during holidays,1,7
49,cars on the railway multiply during holidays,0,7
50,beef cooked on the drill tastes delicious,0,7
50,beef cooked on the grill tastes delicious,1,7
51,Jerry takes a visiting card from the rolodex to keep in touch with Tom,1,14
